"","ResearchContext","freq"
"climate-induced range shifts","climate-induced range shifts",1
"community structure","community structure",52
"conservation","conservation",12
"disturbance effects","disturbance effects",2
"ecological networks","ecological networks",1
"ecomorphology","ecomorphology",2
"ecophysiology","ecophysiology",1
"ecosystem functioning","ecosystem functioning",7
"ecosystem monitoring","ecosystem monitoring",49
"ecosystem services","ecosystem services",3
"macroevolution","macroevolution",1
"paleobiology","paleobiology",1
"restoration","restoration",2
"trade-offs","trade-offs",1
